00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US
01 123     6496     5145     7848 16.1 12.8 19.4     2351     1809     2894 24.0 18.4 29.5     1636     1211     2061 22.4 16.6 28.3  28711  25665  31742                                        Tallapoosa County                             AL
01 125    25356    20238    30473 16.2 13.0 19.5     8895     6927    10864 24.0 18.7 29.3     5593     4189     6997 20.8 15.6 26.1  33374  30482  36251                                        Tuscaloosa County                             AL
01 127    10387     8227    12548 14.5 11.5 17.5     3630     2785     4475 21.0 16.1 25.8     2519     1860     3178 19.5 14.4 24.6  29017  25979  32039                                        Walker County                                 AL
01 129     3381     2675     4087 18.9 15.0 22.9     1303     1005     1601 26.0 20.1 32.0      927      688     1166 24.8 18.4 31.2  30186  27087  33269                                        Washington County                             AL
01 131     4515     3535     5494 33.8 26.4 41.1     1749     1318     2179 39.9 30.0 49.7     1383     1005     1761 41.0 29.8 52.3  19035  15899  22155                                        Wilcox County                                 AL
01 133     3859     3038     4680 15.7 12.4 19.0     1292      986     1597 22.4 17.1 27.7      905      665     1145 21.6 15.9 27.3  26744  23688  29782                                        Winston County                                AL
02   0    65970    59011    72929 10.8  9.6 11.9    28014    22829    33199 14.6 11.9 17.4    19387    14599    24175 13.6 10.3 17.0  47177  45029  49325    7182    5094    9270 15.5 11.0 20.0 Alaska                                        AK
02  13      265      198      331 12.1  9.1 15.2       85       58      111 15.1 10.4 19.8       72       46       98 17.3 10.9 23.6  40350  36278  44400                                        Aleutians East Borough                        AK
02  16      240      160      319  6.2  4.1  8.2       74       43      106 10.6  6.1 15.1       45       24       66  9.5  5.1 13.9  45528  42036  49001                                        Aleutians West Census Area                    AK
02  20    22205    17396    27015  8.7  6.8 10.6     9321     6761    11881 12.9  9.4 16.5     5719     3844     7594 10.8  7.2 14.3  53568  50840  56280                                        Anchorage Borough                             AK
02  50     5022     3853     6191 31.0 23.8 38.2     2174     1549     2799 31.6 22.5 40.6     1689     1119     2259 33.5 22.2 44.8  27371  23209  31511                                        Bethel Census Area                            AK
02  60       84       63      106  8.0  6.0 10.1       36       24       47 10.0  6.7 13.3       25       16       34  9.6  6.0 13.2  56849  52662  61014                                        Bristol Bay Borough                           AK
02  68      103       73      132  6.2  4.5  8.0       48       32       63 10.7  7.2 14.2       35       21       49 10.2  6.3 14.2  49788  45379  54172                                        Denali Borough                                AK
02  70     1252      961     1544 27.1 20.8 33.5      574      407      740 30.5 21.6 39.3      454      298      610 33.9 22.3 45.6  35308  31001  39591                                        Dillingham Census Area                        AK
02  90     7277     5681     8872  8.9  7.0 10.9     3089     2244     3933 11.9  8.7 15.2     1985     1337     2633 10.5  7.1 14.0  47552  44152  50933                                        Fairbanks North Star Borough                  AK
02 100      285      219      352 12.8  9.8 15.7      103       73      132 17.3 12.3 22.4       76       50      102 16.5 10.9 22.1  39656  35664  43626                                        Haines Borough                                AK
02 110     1960     1514     2407  6.5  5.0  8.0      814      579     1048  9.4  6.7 12.2      534      354      714  8.3  5.5 11.2  58883  54861  62883                                        Juneau Borough                                AK
02 122     5438     4225     6651 11.3  8.8 13.8     2297     1665     2928 15.1 11.0 19.3     1544     1039     2049 13.2  8.9 17.5  47602  43631  51552                                        Kenai Peninsula Borough                       AK
02 130     1158      884     1432  8.3  6.3 10.3      449      302      595 11.2  7.5 14.8      329      210      448 10.7  6.8 14.6  52204  48142  56245                                        Ketchikan Gateway Borough                     AK
02 150     1234      957     1512  8.7  6.7 10.7      548      388      709 11.9  8.4 15.4      358      228      488 10.8  6.9 14.6  47200  42992  51385                                        Kodiak Island Borough                         AK
02 164      429      328      530 24.8 18.9 30.6      190      133      248 25.7 17.9 33.4      165      108      222 30.0 19.6 40.3  27422  22761  32057                                        Lake and Peninsula Borough                    AK
02 170     6312     4919     7704 10.9  8.5 13.4     2671     1929     3414 13.5  9.8 17.3     1955     1316     2594 12.7  8.6 16.9  49498  45285  53688                                        Matanuska-Susitna Borough                     AK
02 180     2090     1614     2565 23.7 18.3 29.0      957      688     1226 25.7 18.5 32.9      756      505     1007 27.6 18.5 36.8  34254  30016  38469                                        Nome Census Area                              AK
02 185      471      355      586  6.6  5.0  8.3      188      122      253  6.5  4.3  8.8      132       82      182  6.4  4.0  8.9  58705  53910  63474                                        North Slope Borough                           AK
02 188     1314     1015     1614 19.5 15.0 23.9      648      464      831 20.3 14.5 26.0      523      348      698 22.9 15.3 30.6  38006  34010  41980                                        Northwest Arctic Borough                      AK
02 201      945      715     1176 14.0 10.6 17.4      348      239      458 15.2 10.4 19.9      312      200      424 17.7 11.4 24.0  41555  37638  45451                                        Prince of Wales-Outer Ketchikan Census Area   AK
02 220      682      524      841  8.6  6.6 10.6      264      184      343 10.9  7.6 14.1      190      123      257 10.1  6.5 13.6  49027  45082  52951                                        Sitka Borough                                 AK
02 232      332      223      440  9.3  6.2 12.3      144       94      193 11.4  7.5 15.4      137       87      187 13.8  8.7 18.8  38514  34460  42546                                        Skagway-Hoonah-Angoon Census Area             AK
